wave flux
4030.2974 56902.727
4030.3474 54238.645
4030.3974 59046.86
4030.4474 54282.242
4030.4974 54380.367
4030.5474 56342.043
4030.5974 54811.8
4030.6474 55513.9
4030.6974 57560.316
4030.7474 57679.363
4030.7974 55463.863
4030.8474 55331.61
4030.8974 55438.426
4030.9474 55521.8
4030.9974 55973.207
4031.0474 56634.86
4031.0974 54370.965
4031.1474 55529.133
4031.1974 54082.19
4031.2474 56672.27
4031.2974 56391.188
4031.3474 57505.215
4031.3974 59850.176
4031.4474 58792.484
4031.4974 57635.473
4031.5474 56932.473
4031.5974 58262.848
4031.6474 57695.332
4031.6974 55569.67
4031.7474 56348.7
4031.7974 52885.242
4031.8475 56504.676
4031.8975 55893.844
4031.9475 56750.457
4031.9975 58049.094
4032.0475 56564.617
4032.0975 56890.156
4032.1475 57893.03
4032.1975 55451.832
4032.2475 58649.145
4032.2975 57446.703
4032.3475 56913.36
4032.3975 55810.145
4032.4475 56894.57
4032.4975 56321.664
4032.5475 57948.918
4032.5975 58251.586
4032.6475 58027.11
4032.6975 57198.684
4032.7475 54584.87
4032.7975 56731.875
4032.8475 56239.47
4032.8975 57627.184
4032.9475 57993.65
4032.9975 56190.438
4033.0475 56169.742
4033.0975 56310.703
4033.1475 55440.234
4033.1975 55177.97
4033.2475 57741.96
4033.2975 56913.82
4033.3475 57691.38
4033.3975 58694.324
4033.4475 56038.645
4033.4976 60460.28
4033.5476 57158.42
4033.5976 57577.44
4033.6476 58768.45
4033.6976 56883.48
4033.7476 57770.12
4033.7976 58155.68
4033.8476 57637.934
4033.8976 57220.57
4033.9476 57539.496
4033.9976 58572.344
4034.0476 56781.29
4034.0976 58865.043
4034.1476 59723.754
4034.1976 59264.203
4034.2476 56212.324
4034.2976 56626.44
4034.3476 57173.438
4034.3976 58146.387
4034.4476 59008.688
4034.4976 59733.617
4034.5476 57947.79
4034.5976 58595.168
4034.6476 56585.785
4034.6976 58103.473
4034.7476 57505.332
4034.7976 56734.906
4034.8476 58084.55
4034.8976 56449.49
4034.9476 57322.008
4034.9976 54151.92
4035.0476 52199.105
4035.0977 50455.137
4035.1477 54327.023
4035.1977 56021.574
4035.2477 55791.883
4035.2977 57312.22
4035.3477 54815.637
4035.3977 55725.19
4035.4477 55300.562
4035.4977 56461.17
4035.5477 56449.63
4035.5977 57560.66
4035.6477 58105.01
4035.6977 58659.42
4035.7477 57387.164
4035.7977 56987.844
4035.8477 59171.984
4035.8977 59444.2
4035.9477 58135.254
4035.9977 57121.465
4036.0477 58364.617
4036.0977 58338.96
4036.1477 60011.152
4036.1977 58727.75
4036.2477 58428.062
4036.2977 57230.37
4036.3477 55948.945
4036.3977 57510.45
4036.4477 58028.75
4036.4977 55967.332
4036.5477 60511.633
4036.5977 58493.94
4036.6477 60691.87
4036.6977 59481.668
4036.7478 58835.332
4036.7978 58592.156
4036.8478 59478.777
4036.8978 56992.008
4036.9478 56841.062
4036.9978 56499.27
4037.0478 57677.836
4037.0978 56261.656
4037.1478 59947.453
4037.1978 58882.613
4037.2478 57048.44
4037.2978 58741.293
4037.3478 58064.945
4037.3978 60428.13
4037.4478 58630.125
4037.4978 59460.684
4037.5478 56290.617
4037.5978 56325.973
4037.6478 56488.723
4037.6978 59986.273
4037.7478 59216.312
4037.7978 58792.848
4037.8478 58082.453
4037.8978 59788.72
4037.9478 59425.973
4037.9978 58008.445
4038.0478 58772.848
4038.0978 60737.582
4038.1478 61541.234
4038.1978 58090.49
4038.2478 59999.633
4038.2978 59753.188
4038.3478 58813.195
4038.3979 57843.668
4038.4479 60828.14
4038.4979 58878.812
4038.5479 56876.906
4038.5979 59807.707
4038.6479 58348.715
4038.6979 55748.305
4038.7479 57055.816
4038.7979 61678.285
4038.8479 60813.29
4038.8979 59569.996
4038.9479 60124.523
4038.9979 60951.727
4039.0479 59047.016
4039.0979 56658.902
4039.1479 57029.094
4039.1979 55407.605
4039.2479 58810.305
4039.2979 58210.863
4039.3479 59694.004
4039.3979 59212.08
4039.4479 57611.445
4039.4979 57081.707
4039.5479 57502.934
4039.5979 58586.95
4039.6479 60500.72
4039.6979 58155.035
4039.7479 58567.36
4039.7979 58324.625
4039.8479 55886.52
4039.8979 58641.855
4039.9479 58727.426
4039.998 58108.53
4040.048 59513.902
4040.098 57632.324
4040.148 57554.703
4040.198 57293.33
4040.248 58255.918
4040.298 55447.312
4040.348 59606.367
4040.398 58755.06
4040.448 58748.746
4040.498 58673.254
4040.548 62126.426
4040.598 58216.293
4040.648 56847.6
4040.698 58888.977
4040.748 59819.48
4040.798 59884.41
4040.848 57772.098
4040.898 58336.31
4040.948 56863.316
4040.998 58588.793
4041.048 58075.95
4041.098 58545.82
4041.148 57931.89
4041.198 52685.504
4041.248 50549.35
4041.298 49079.37
4041.348 51526.906
4041.398 52624.37
4041.448 56571.547
4041.498 58441.61
4041.548 57216.68
4041.598 56968.9
4041.6481 57724.715
4041.6981 58996.71
4041.7481 57177.63
4041.7981 55838.527
4041.8481 57143.34
4041.8981 55019.645
4041.9481 56152.324
4041.9981 57191.46
4042.0481 57792.86
4042.0981 58749.133
4042.1481 57051.855
4042.1981 56286.15
4042.2481 58650.633
4042.2981 59526.953
4042.3481 58997.125
4042.3981 57219.2
4042.4481 56506.21
4042.4981 59003.46
4042.5481 58740.85
4042.5981 58061.39
4042.6481 57130.98
4042.6981 56265.918
4042.7481 61003.188
4042.7981 57276.793
4042.8481 58811.516
4042.8981 57953.875
4042.9481 57968.254
4042.9981 57393.836
4043.0481 57671.88
4043.0981 57100.34
4043.1481 59027.855
4043.1981 58576.01
4043.2482 57589.598
4043.2982 58261.016
4043.3482 56376.945
4043.3982 57653.477
4043.4482 53545.23
4043.4982 52989.953
4043.5482 53172.473
4043.5982 56027.75
4043.6482 56585.17
4043.6982 57629.383
4043.7482 58348.145
4043.7982 60261.63
4043.8482 59675.07
4043.8982 56505.562
4043.9482 56910.137
4043.9982 57819.77
4044.0482 56927.984
4044.0982 58751.21
4044.1482 59453.586
4044.1982 57685.895
4044.2482 56793.152
4044.2982 57771.312
4044.3482 58471.83
4044.3982 59378.65
4044.4482 58473.69
4044.4982 56851.246
4044.5482 58438.65
4044.5982 58288.188
4044.6482 57680.875
4044.6982 56621.19
4044.7482 55987.145
4044.7982 52888.145
4044.8482 56251.695
4044.8983 56562.273
4044.9483 57352.715
4044.9983 57564.5
4045.0483 57227.13
4045.0983 58106.2
4045.1483 57084.883
4045.1983 56493.594
4045.2483 56991.395
4045.2983 58947.73
4045.3483 55769.152
4045.3983 57230.113
4045.4483 57462.69
4045.4983 57345.76
4045.5483 58635.383
4045.5983 58690.99
4045.6483 58440.508
4045.6983 58323.973
4045.7483 57714.316
4045.7983 56181.695
4045.8483 56381.14
4045.8983 56464.223
4045.9483 57177.97
4045.9983 58533.66
4046.0483 54970.816
4046.0983 57043.547
4046.1483 56208.207
4046.1983 56489.6
4046.2483 58842.594
4046.2983 57107.83
4046.3483 59276.598
4046.3983 57548.52
4046.4483 55961.004
4046.4984 58225.98
4046.5484 58369.26
4046.5984 55916.297
4046.6484 57007.777
4046.6984 58777.156
4046.7484 57919.062
4046.7984 57997.406
4046.8484 57446.35
4046.8984 57589.965
4046.9484 58192.13
4046.9984 58138.516
4047.0484 58360.04
4047.0984 56220.23
4047.1484 59066.535
4047.1984 60282.105
4047.2484 57398.688
4047.2984 58523.918
4047.3484 57516.492
4047.3984 58165.18
4047.4484 58051.934
4047.4984 58883.9
4047.5484 56755.895
4047.5984 57435.52
4047.6484 56768.008
4047.6984 56195.098
4047.7484 57789.184
4047.7984 58702.91
4047.8484 59540.797
4047.8984 59428.69
4047.9484 56773.273
4047.9984 56453.445
4048.0484 57091.496
4048.0984 57568.19
4048.1485 56761.926
4048.1985 55975.086
4048.2485 52891.156
4048.2985 57025.37
4048.3485 56239.332
4048.3985 56633.312
4048.4485 57768.926
4048.4985 56988.84
4048.5485 58855.777
4048.5985 58313.645
4048.6485 59097.504
4048.6985 56771.6
4048.7485 57709.85
4048.7985 59475.555
4048.8485 57947.24
4048.8985 58325.992
4048.9485 59344.75
4048.9985 57681.566
4049.0485 57828.336
4049.0985 57235.508
4049.1485 58197.09
4049.1985 59982.99
4049.2485 57872.586
4049.2985 58673.652
4049.3485 59059.16
4049.3985 55642.58
4049.4485 59216.34
4049.4985 58486.74
4049.5485 59261.117
4049.5985 57159.98
4049.6485 58488.316
4049.6985 57397.9
4049.7485 56844.83
4049.7986 58721.836
4049.8486 57946.844
4049.8986 56981.816
4049.9486 56685.098
4049.9986 56486.875
4050.0486 57654.18
4050.0986 57597.496
4050.1486 59196.656
4050.1986 60301.35
4050.2486 57913.35
4050.2986 58280.605
4050.3486 59093.746
4050.3986 59078.75
4050.4486 56442.418
4050.4986 59937.043
4050.5486 59741.336
4050.5986 59138.41
4050.6486 60389.727
4050.6986 56805.223
4050.7486 58522.258
4050.7986 57634.688
4050.8486 58240.45
4050.8986 57373.59
4050.9486 57068.54
4050.9986 57219.824
4051.0486 57661.18
4051.0986 56913.89
4051.1486 57446.945
4051.1986 57009.47
4051.2486 57447.137
4051.2986 56692.12
4051.3486 57325.227
4051.3987 55935.09
4051.4487 56947.96
4051.4987 57519.15
4051.5487 57181.65
